id_desdobramento_3,cd_desdobramento_3,nome
315,1,RECEITA INTRAORCAMENTARIA - OUTRAS RECEITAS - PRIMARIAS
316,2,DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - PRINCIPAL - COTA PARTE DO ESTADO PARA O FUNDEB
317,1,RECEITA INTRAORCAMENTARIA - CONTRIBUICAO PATRONAL DO MILITAR
318,0,RECEITA INTRAORCAMENTARIA - RECEITA PATRIMONIAL
319,0,"RECEITA INTRAORCAMENTARIA - CONCESSAO, PERMISSAO, AUTORIZACAO OU CESSAO DO DIREITO DE USO DE BENS IMOVEIS PUBLICOS"
320,0,RECEITA INTRAORCAMENTARIA - DEMAIS RECEITAS PATRIMONIAIS
321,0,RECEITA INTRAORCAMENTARIA - RECEITA INDUSTRIAL
322,0,RECEITA INTRAORCAMENTARIA - SERVICOS DE INFORMACAO E TECNOLOGIA
323,1,RECEITA INTRAORCAMENTARIA - SERVICOS DE ATENDIMENTO A SAUDE
324,0,TRANSFERENCIAS DE PESSOAS FISICAS
325,0,TRANSFERENCIAS PROVENIENTES DE DEPOSITOS NAO IDENTIFICADOS
326,0,DEDUCAO DAS RECEITAS - MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA
327,9,OUTRAS TRANSFERENCIAS DE CONVENIO DOS ESTADOS
328,0,"DEDUCAO DAS RECEITAS - MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS"
329,1,DELEGACAO PARA A PRESTACAO DOS SERVICOS DE TRANSPORTE AEROVIARIO
330,0,DELEGACAO DOS SERVICOS DE TELECOMUNICACAO
331,4,CESSAO DO DIREITO DE USO DE RADIOFREQUENCIA
332,6,CONTRIBUICAO PATRONAL DOS PENSIONISTAS MILITARES
333,1,CONTRIBUICAO PARA O PROGRAMA DE INTEGRACAO NACIONAL - PIN
334,0,"CONTRIBUICAO DE LOJAS FRANCAS, ENTREPOSTOS ADUANEIROS E DEPOSITOS ALFANDEGARIOS"
335,0,CONTRIBUICAO SOBRE APOSTAS EM COMPETICOES HIPICAS
336,1,OUTRAS DELEGACOES DE SERVICOS PUBLICOS
337,1,BONUS DE ASSINATURA DO CONTRATO DE CONCESSAO
338,6,CONTRIBUICAO DO SERVIDOR ATIVO AO RPPS ORIUNDA DE SENTENCAS JUDICIAIS
339,8,CONTRIBUICAO DO PENSIONISTA AO RPPS ORIUNDA DE SENTENCAS JUDICIAIS
340,2,CONTRIBUICAO SOBRE LOTERIAS ESPORTIVAS
341,1,CONTRIBUICAO PARA O FOMENTO DA RADIODIFUSAO PUBLICA
342,2,CONTRIBUICAO SOBRE O FATURAMENTO DAS EMPRESAS DE INFORMATICA INSTALADAS NAS DEMAIS REGIOES
343,0,CONTRIBUICOES ECONOMICAS SOBRE COMMODITIES
344,0,PETROLEO - REGIME DE PARTILHA DE PRODUCAO
345,1,CONTRIBUICAO SOBRE SORTEIOS REALIZADOS POR ENTIDADES FILANTROPICAS
346,2,"FOROS, LAUDEMIOS E TARIFAS DE OCUPACAO"
347,0,COTA-PARTE DA CONTRIBUICAO SINDICAL
348,2,CONTRIBUICAO SOBRE A REMUNERACAO DEVIDA AO TRABALHADOR
349,1,CONTRIBUICAO PARA O ENSINO AEROVIARIO
350,0,CONCESSAO DE FLORESTAS NACIONAIS
351,6,JUROS SOBRE O CAPITAL PROPRIO
352,0,OUTRAS DELEGACOES PARA EXPLORACAO DE RECURSOS NATURAIS
353,0,CONTRIBUICAO DE MELHORIA PARA EXPANSAO DA REDE DE ILUMINACAO PUBLICA NA CIDADE
354,0,CONTRIBUICAO DE MELHORIA PARA EXPANSAO DE REDE DE ILUMINACAO PUBLICA RURAL
355,0,CONTRIBUICAO SOCIAL SOBRE O LUCRO LIQUIDO - CSLL
356,0,"DELEGACAO DE SERVICOS PUBLICOS MEDIANTE CONCESSAO, PERMISSAO, AUTORIZACAO OU LICENCA"
357,0,CESSAO DE DIREITOS
358,1,TRANSFERENCIAS DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS
359,1,SERVICOS PORTUARIOS
360,0,SERVICOS AEROPORTUARIOS
361,5,OUTRAS PARTICIPACOES NA RECEITA DOS ESTADOS
362,0,SERVICOS E ATIVIDADES REFERENTES A SAUDE
363,0,TRANSFERENCIAS DE ESTADOS DESTINADAS A ASSISTENCIA SOCIAL
364,1,TRANSFERENCIAS DE CONVENIO DOS ESTADOS PARA O SISTEMA UNICO DE SAUDE - SUS
365,0,TRANSFERENCIAS DOS MUNICIPIOS E DE SUAS ENTIDADES
366,0,TRANSFERENCIAS DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS
367,0,OUTROS RESSARCIMENTOS
368,0,"BENS, DIREITOS E VALORES INCORPORADOS AO PATRIMONIO PUBLICO"
369,0,OUTRAS TRANSFERENCIAS DOS MUNICIPIOS
370,1,OUTRAS TRANSFERENCIAS DOS MUNICIPIOS
371,0,TRANSFERENCIAS DE INSTITUICOES PRIVADAS
372,0,OUTROS SERVICOS
373,1,PREMIOS PRESCRITOS DE CONCURSOS DE PROGNOSTICOS
374,5,TRANSFERENCIAS DE CONVENIOS DOS ESTADOS DESTINADAS A PROGRAMAS DE SANEAMENTO BASICO
375,0,"TRANSFERENCIAS DA UNIAO - ESPECIFICAS DE ESTADOS, DF E MUNICIPIOS"
376,1,CONTRIBUICAO AO MONTEPIO CIVIL
377,0,TRANSFERENCIAS DE RECURSOS DO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB
378,0,RESERVA GLOBAL DE REVERSAO
379,1,RESERVA GLOBAL DE REVERSAO
380,0,"TRANSFERENCIAS DOS ESTADOS, DISTRITO FEDERAL, E DE SUAS ENTIDADES"
381,2,OUTRAS RECEITAS - FINANCEIRAS
382,0,RECEITAS DE CAPITAL
383,2,TITULOS DE RESPONSABILIDADE DO TESOURO NACIONAL - REFINANCIAMENTO DA DIVIDA PUBLICA FEDERAL NO MERCADO INTERNO
384,3,TITULOS DA DIVIDA AGRARIA - TDA
385,1,EMPRESTIMOS COMPULSORIOS
386,0,TRANSFERENCIAS DE CONVENIOS DOS MUNICIPIOS E DE SUAS ENTIDADES
387,0,"MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS"
388,2,OPERACOES DE CREDITO INTERNAS PARA PROGRAMAS DE SAUDE
389,0,TITULOS DE RESPONSABILIDADE DO TESOURO NACIONAL - MERCADO EXTERNO
390,0,OPERACOES DE CREDITO EXTERNAS - ESTADOS/DF/ MUNICIPIOS
391,2,TRANSFERENCIAS DE CONVENIOS DA UNIAO DESTINADAS A PROGRAMAS DE EDUCACAO
392,0,OUTRAS OPERACOES DE CREDITO - MERCADO EXTERNO
393,1,ALIENACAO DE TITULOS MOBILIARIOS
394,1,ALIENACAO DE ESTOQUES DO PROGRAMA DE AQUISICAO DE ALIMENTOS - PAA
395,1,ALIENACAO DE INVESTIMENTOS TEMPORARIOS
396,1,MULTAS PREVISTAS NA LEGISLACAO SOBRE DEFESA DOS DIREITOS DIFUSOS
397,1,MULTAS APLICADAS PELOS TRIBUNAIS DE CONTAS
398,0,OUTRAS TRANSFERENCIAS DE RECURSOS FUNDO A FUNDO
399,1,COTA-PARTE DO ICMS
400,2,RESTITUICAO DE CONVENIOS - FINANCEIRAS
401,2,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - CAPITAL
402,3,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - REMESSA AO EXTERIOR
403,0,"IMPOSTOS SOBRE OPERACOES DE CREDITO, CAMBIO E SEGURO, OU RELATIVAS A TITULOS OU VALORES MOBILIARIOS"
404,1,IMPOSTO SOBRE OPERACOES FINANCEIRAS - IOF - OURO
405,0,IMPOSTOS SOBRE O PATRIMONIO PARA ESTADOS/DF/MUNICIPIOS
406,0,TAXAS
407,0,"TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO"
408,0,DEMAIS RECEITAS DE CAPITAL
409,0,RECEITA INTRAORCAMENTARIA - TAXAS
